Library, Design Unit, compile Time, Peak Mem Usage
work, Entity: VLO Architecture: syn_black_box, 0h:00m:00s,    101 MB
work, Entity: EHXPLLF Architecture: syn_black_box, 0h:00m:00s,    101 MB
work, Entity: Pll125to100x50 Architecture: structure, 0h:00m:00s,    101 MB
work, Entity: SeqBlk Architecture: behavioral, 0h:00m:00s,    101 MB
work, Entity: ep32 Architecture: behavioral, 0h:00m:06s,    121 MB
work, Entity: Rx Architecture: behavioral, 0h:00m:00s,    121 MB
work, Entity: Tx Architecture: behavioral, 0h:00m:00s,    121 MB
work, Entity: uart Architecture: rtl, 0h:00m:00s,    121 MB
work, Entity: pmi_ram_dq_work_testvideotop_rtl_0 Architecture: syn_black_box, 0h:00m:00s,    121 MB
work, Entity: Forth Architecture: rtl, 0h:00m:00s,    121 MB
work, Entity: I2cMasterDevice Architecture: rtl, 0h:00m:00s,    121 MB
work, Entity: pmi_fifo_work_testvideotop_rtl_1 Architecture: syn_black_box, 0h:00m:00s,    121 MB
work, Entity: I2cMasterCommands Architecture: rtl, 0h:00m:00s,    121 MB
work, Entity: Dvi410Conf Architecture: rtl, 0h:00m:00s,    121 MB
work, Entity: Dvi410Cnt Architecture: rtl, 0h:00m:00s,    121 MB
work, Entity: Dvi410Sync Architecture: rtl, 0h:00m:00s,    121 MB
work, Entity: Dvi410Timing Architecture: rtl, 0h:00m:00s,    121 MB
work, Entity: Dvi410Request Architecture: rtl, 0h:00m:00s,    121 MB
work, Entity: Dvi410 Architecture: rtl, 0h:00m:00s,    121 MB
work, Entity: pmi_fifo_work_testvideotop_rtl_0 Architecture: syn_black_box, 0h:00m:00s,    121 MB
work, Entity: TestVideoTop Architecture: rtl, 0h:00m:00s,    121 MB
